STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,median-decimal,clean-income-tracts_Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,clean-income-tracts_Annotation of Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,clean-income-tracts_Margin of Error!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,clean-income-tracts_Annotation of Margin of Error!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,NUMPOINTS
"47","037","018303","47037018303","183.03",Census Tract 183.03,G5020,S,"52696957","1409715","+36.1506555","-086.9598389",66181.000,"66181",null,"31303",null,0
"47","037","013001","47037013001","130.01",Census Tract 130.01,G5020,S,"10976284","622661","+36.1790422","-086.8834540",130625.000,"130625",null,"69543",null,0
"47","037","013702","47037013702","137.02",Census Tract 137.02,G5020,S,"4583826","445043","+36.1969299","-086.8033726",36719.000,"36719",null,"26012",null,1
"47","037","018304","47037018304","183.04",Census Tract 183.04,G5020,S,"33231323","18712","+36.1026369","-086.9708139",118135.000,"118135",null,"6245",null,0
"47","037","015806","47037015806","158.06",Census Tract 158.06,G5020,S,"3849828","0","+36.1308439","-086.7183031",43031.000,"43031",null,"5575",null,0
"47","037","019008","47037019008","190.08",Census Tract 190.08,G5020,S,"2154206","0","+36.0896576","-086.7112379",46631.000,"46631",null,"9328",null,0
"47","037","010303","47037010303","103.03",Census Tract 103.03,G5020,S,"4508896","142888","+36.3132279","-086.7006728",52624.000,"52624",null,"9662",null,0
"47","037","010601","47037010601","106.01",Census Tract 106.01,G5020,S,"16795760","1110795","+36.2245500","-086.6618465",66567.000,"66567",null,"11601",null,0
"47","037","015624","47037015624","156.24",Census Tract 156.24,G5020,S,"3682744","1414202","+36.1487422","-086.6220223",62213.000,"62213",null,"11826",null,0
"47","037","015625","47037015625","156.25",Census Tract 156.25,G5020,S,"9544532","1931522","+36.1310221","-086.6454330",62059.000,"62059",null,"5595",null,0
